"Daily smokers"
"% of population aged 15+, 2020"
"Category";"Total";"Women";"Men"
"France";25,5;22;29,1
"Chile";17,6;17,5;17,7
"Spain";19,8;16,5;23,3
"Luxembourg";16,9;16,1;17,7
"Italy";18,8;15,4;22,5
"United Kingdom";14,5;13,7;15,3
"Netherlands";14,4;13,1;15,7
"Estonia";17,9;12,6;25,7
"Czechia";16,6;12,2;21,2
"New Zealand";11,9;11,3;12,5
"Finland";12,4;11,3;13,5
"Norway";9;9;9
"Sweden";9,5;8,7;10,2
"United States";9,4;8,6;10,3
"Iceland";7,3;7,9;6,7
"Canada";9,4;7,6;11,3
"Costa Rica";8,4;4,6;12,2
"Korea";15,9;3,9;27,8
"Mexico";7,4;2,9;12,3
