"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;207,946;201,051;218,461;252,618;272,189;330,295;389,63;440,607;543,652;611,642;666,089;639,473;630,136;594,213;520,267;529,773;499,799;499,762;516,664;356,063;352,456;410,933;no data;no data;no data;no data;no data;no data
Albania;728,359;817,734;824,542;815,529;788,332;788,801;855,724;832,245;805,046;860,784;675,736;408,022;259,75;452,623;736,028;903,989;1009,967;706,623;816,622;1037,599;1129,033;1283,237;1427,675;1829,632;2371,13;2673,773;2972,745;3595,053;4370,562;4114,09;4097,833;4439,89;4248,909;4415,6;4584,919;3953,611;4124,405;4542,76;5287,721;5395,101;5353,303;6396,166;6870,21;8299,278;9598,191;10386,312;11211,431;11937,672;12713,803;13543,306
Algeria;2462,085;2502,13;2446,588;2514,256;2640,191;2988,545;2929,092;2935,816;2326,571;2309,34;2684,465;1975,201;2033,196;2056,556;1674,567;1626,997;1783,41;1800,196;1772,368;1769,091;1947,755;1919,41;1958,238;2304,603;2839,82;3258,153;3690,572;4208,244;5214,762;4262,144;4941,493;5946,345;6057,974;5997,896;6108,878;4691,686;4426,58;4554,15;4568,244;4452,856;3757,585;4169,984;4981,822;5221,813;5579,128;5592,852;5645,511;5680,587;5705,771;5733,606
Andorra;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;49030,229;51957,313;45713,97;45630,195;46299,282;38877,485;39595,317;40017,741;42229,903;40688,491;36973,845;41806,876;41378,881;43809,726;45278,52;45994,879;46819,401;47330,444;47873,433;48458,183
Angola;1055,339;961,721;936,935;951,5;982,624;1074,327;977,905;1089,96;1151,19;1303,41;1397,414;1310,218;977,93;687,658;484,971;585,668;730,731;830,042;680,922;623,486;771,405;730,652;988,318;1122,365;1438,272;2128,257;2909,07;3493,014;4554,334;3630,103;4089,461;5175,442;5699,986;5880,641;6061,865;4680,829;3936,361;4628,964;3651,304;2926,143;1989,939;2445,388;3974,666;2967,384;2961,34;2990,597;3030,019;3140,94;3222,419;3316,369
Antigua and Barbuda;1935,022;2199,721;2479,206;2793,833;3259,644;3848,686;4730,432;5611,664;6756,454;7544,287;7942,365;8299,523;8502,543;8956,336;9647,035;9257,311;9930,047;10442,982;10931,597;11285,796;11912,539;11413,194;11562,337;12089,419;12957,491;14295,184;16122,047;18196,388;18842,054;16579,504;15341,821;15016,011;15692,753;15019,671;15393,018;15809,067;16130,768;16327,584;17451,026;17851,361;14382,232;16088,64;18498,453;19985,469;22117,858;23215,537;24022,234;24860,925;25710,671;26592,132
Argentina;8361,209;6671,428;3257,853;3962,735;4374,783;3248,745;3857,027;3909,984;4524,498;2867,307;4857,796;6429,454;7653,711;7796,24;8378,735;8295,123;8645,455;9196,516;9283,175;8709,072;8638,543;8085,356;2997,621;3761,088;4314,098;5163,55;5976,082;7315,726;9146,79;8337,811;10412,974;12787,806;13889,792;14488,829;13208,831;14895,316;12772,868;14618,327;11786,433;9941,59;8489,332;10610,191;13676,216;13823,346;12814,444;12053,982;12705,567;13330,203;13913,628;14401,771
Armenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;31,321;247,884;196,98;399,576;503,774;521,869;608,415;597,241;620,638;692,287;779,122;923,387;1180,399;1628,063;2128,151;3079,031;3913,436;2911,763;3121,778;3417,172;3575,529;3732,035;3889,004;3529,026;3524;3868,906;4195,963;4596,861;4268,681;4685,183;6660,868;8125,625;8517,994;8964,961;9247,372;9760,469;10430,174;11196,031
Aruba;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;16546,617;16620,854;17751,072;18825,012;19215,013;20681,137;20740,206;21307,261;21949,392;23700,571;24171,995;24845,66;26736,575;28172,075;25134,689;24093,07;25712,438;25119,747;25813,523;26129,732;27458,248;27441,561;28440,093;30082,212;31096,315;23565,55;28813,136;33032,454;36743,647;39697,146;41492,606;43028,108;44591,171;46219,465;47920,419
Australia;11007,874;12528,838;12235,188;11592,38;12575,503;10967,958;11245,593;12999,045;16246,533;18209,28;18877,582;18667,145;18112,355;17455,056;19748,8;20926,032;23171,947;23033,05;20394,027;21775,529;20913,346;19502,104;21701,988;27295,431;32863,187;36256,942;37980,835;45207,756;49198,736;45772,165;56587,694;67293,136;68489,256;65247,836;61647,05;51468,795;51821,355;55845,011;56441,271;54391,307;53249,731;64352,012;65513,824;64546,866;65965,622;67978,737;70111,641;71944,415;74038,536;76408,601
Austria;10731,955;9280,728;9267,664;9417,235;8882,629;9090,795;12886,095;16093,014;17632,815;17547,811;21827,44;22621,881;25068,398;24152,659;25725,557;30350,529;29820,596;26737,482;27399,085;27210,471;24636,471;24558,922;26508,32;32298,607;36883,892;38450,609;40674,883;46922,558;51914,013;48111,662;46955,173;51452,276;48616,903;50747,384;51814,424;44267,809;45278,829;47320,537;51234,477;50192,49;48837,35;53696,146;52501,49;56856,125;58668,601;61079,62;63677,645;65804,37;67670,671;69518,238
Azerbaijan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;159,971;174,875;297,162;316,227;411,14;553,468;543,344;576,005;656,386;674,783;760,812;879,863;1039,818;1567,194;2453,261;3813,751;5564,444;4964,696;5880,509;7238,602;7545,553;7926,6;7938,578;5524,527;3897,788;4217,653;4759,796;4841,145;4280,429;5468,269;7831,176;7144,807;7381,368;7428,084;7660,646;7921,114;8224,572;8567,034
Bahamas, The;12291,741;12496,221;13749,496;14961,6;15630,102;16801,08;17854,136;19329,928;19687,5;21818,62;20460,303;19767,715;19417,216;18979,006;19660,918;20271,249;20974,532;21951,756;23300,816;25780,485;26601,368;26971,273;28357,927;27896,338;28056,572;30030,89;30594,671;31498,523;30787,585;28793,341;28725,135;28365,859;29895,418;28699,505;29990,565;31573,76;31447,64;32427,071;33084,566;33778,471;25572,518;28828,653;32897,378;35517,076;36321,503;37180,045;38097,297;39009,003;40001,371;41042,622
Bahrain;10622,619;11531,448;11698,565;11590,104;11637,826;10615,067;8022,838;8391,422;10010,86;10078,887;10612,215;10688,039;10984,585;11770,05;12277,54;12659,112;12821,281;12949,994;12057,467;12729,094;14818,628;14484,783;14075,299;15101,646;16642,366;18729,699;20086,342;21796,838;24223,471;20292,469;21712,793;25032,787;26438,673;26989,76;26451,797;23734,055;23800,001;24784,769;26324,407;27259,744;24342,844;27140,448;30533,09;29218,861;29573,098;29886,074;30422,768;30997,729;31633,301;32351,604
Bangladesh;311,093;322,318;294,02;277,489;303,3;317,511;318,062;339,17;355,592;378,07;398,05;402,354;400,912;395,867;411,91;450,133;471,268;479,354;488,077;491,461;483,217;480,724;490,919;532,343;563,21;572,014;610,469;668,54;760,65;841,252;935,755;1032,313;1057,884;1176,16;1340,289;1495,538;1679,021;1839,755;1991,739;2154,227;2270,348;2497,741;2730,846;2651,738;2624,532;2773,499;3081,802;3342,949;3640,352;3990,388
Barbados;4155,956;4558,06;4748,161;5027,277;5465,395;5703,482;6242,192;6850,613;7260,688;8006,84;8002,166;8008,026;7685,763;8120,165;8436,868;8862,759;9456,705;9990,406;11408,029;11938,16;12271,786;12214,816;12389,628;12778,456;13744,668;15373,873;17097,168;19095,524;19477,377;18183,486;18376,607;18893,915;18583,31;18893,842;18935,288;18605,705;18704,689;19310,373;19654,52;20156,276;17951,935;18276,871;21624,512;23167,298;24758,604;26227,919;27505,493;28801,139;30122,775;31527,048
Belarus;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1252,792;1114,104;1533,721;1034,931;1429,059;1396,112;1514,669;1210,965;1079,61;1286,951;1529,813;1880,217;2459,175;3232,491;3979,115;4896,501;6590,856;5350,621;6033,415;6485,981;6951,407;7994,708;8333,161;5953,752;5037,653;5785,291;6357,962;6838,218;6536,527;7332,084;7892,727;7821,879;8007,673;8459,916;8877,975;9307,906;9795,953;10265,207
Belgium;12529,348;10366,108;9128,584;8626,16;8244,846;8568,653;11873,806;14740,456;16008,638;16098,158;20119,935;20563,729;22823,029;21723,624;23624,467;28458,469;27535,287;24878,749;25399,222;25309,057;23136,511;23067,163;25044,331;30707,665;35497,552;36945,499;38841,785;44496,791;48493,137;44892,228;44448,17;47564,381;44824,163;46848,612;47897,037;41147,261;42076,398;44274,073;47685,347;46783,103;45615,359;52039,551;50274,779;53854,213;56128,791;58248,287;60002,316;61452,512;62980,991;64689,995
Belize;1485,189;1544,093;1514,544;1553,175;1687,191;1628,2;1723,846;1964,493;2275,713;2557,259;2819,969;2981,814;3374,418;3542,791;3555,727;3677,903;3729,822;3675,268;3738,251;3908,248;4333,93;4409,66;4564,499;4704,716;4907,717;5030,684;5442,702;5686,947;5644,95;5336,621;5393,252;5538,887;5684,446;5917,541;6086,238;6152,729;6153,482;6103,817;6053,244;6181,462;5210,543;6070,954;7121,06;7592,071;8133,122;8354,51;8530,021;8691,03;8850,247;9005,685
Benin;614,04;401,43;385,574;330,58;341,857;359,165;448,478;519,04;527,911;476,325;562,898;558,099;601,645;560,707;375,963;495,048;524,067;489,136;510,571;542,24;503,22;508,351;563,98;698,234;783,763;806,35;837,176;944,755;1098,826;1060,566;1010,314;1099,221;1113,274;1214,313;1251,827;1041,758;1049,531;1094,888;1194,023;1171,015;1239,74;1361,816;1306,021;1433,067;1510,188;1586,803;1667,858;1752,074;1836,895;1922,215
Bhutan;324,386;341,009;349,707;368,714;372,512;375,02;410,714;480,579;533,528;519,641;552,933;479,493;475,802;505,888;520,485;612,147;638,444;703,669;754,037;769,484;814,755;824,986;873,97;1023,488;1142,13;1310,737;1379,091;1665,902;2079,433;1934,381;2265,468;2728,197;2825,188;2842,474;2760,16;2980,157;3071,344;3344,035;3606,621;3547,477;3469,154;3486,101;3775,341;3790,136;4068,072;4495,129;4930,876;5341,729;5797,872;6367,784
Bolivia;695,535;615,66;668,55;619,896;631,152;668,921;640,94;683,625;712,146;715,525;723,431;776,711;803,547;793,646;805,183;886,368;956,965;1006,102;1057,72;1010,58;994,617;949,383;904,851;908,203;968,545;1037,176;1226,845;1383,894;1729,369;1769,441;1972,684;2368,523;2635,933;2938,421;3114,966;3069,319;3110,874;3388,523;3588,089;3591,403;3172,556;3449,205;3706,442;3748,41;3919,602;4120,634;4310,314;4511,952;4722,024;4940,64
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;952,331;1225,456;1415,096;1540,514;1480,624;1540,266;1785,289;2254,449;2699,054;2903,602;3306,785;4073,011;4984,537;4711,119;4633,861;5089,853;4773,164;5141,572;5252,939;4662,977;4875,228;5230,13;5859,283;5867,26;5800,39;6800,487;7064,286;7810,113;8220,816;8668,364;9166,748;9645,088;10177,644;10826,883
Botswana;1219,569;1057,067;1075,452;1145,987;1097,548;985,391;1288,644;1947,606;2439,381;2628,077;2797,478;2718,95;2729,751;2674,397;2802,477;3084,8;3087,859;3071,641;2886,26;3188,541;3290,347;3099,104;3005,538;4088,461;4743,633;5194,705;5142,914;5371,808;5345,848;4938,25;6041,732;7080,778;6392,987;6436,603;6844,033;5869,738;6411,552;6705,341;6947,818;6679,188;5863,182;7244,158;7726,111;7249,918;7341,129;8002,978;8601,7;9146,434;9725,501;10437,447
Brazil;1229,883;1382,548;1446,228;1134,932;1105,852;1719,515;1955,069;2087,445;2289,424;3087,928;3106,116;2677,837;2523,736;2787,164;3495,239;4851,99;5204,574;5321,137;5123,549;3501,438;3751,971;3163,671;2844,405;3077,735;3647,959;4806,171;5906,244;7374,237;8863,269;8640,934;11341,268;13326,088;12465,45;12406,559;12230,669;8893,346;8812,503;10055,567;9281,668;9010,512;7057,072;7951,553;9256,482;10267,932;10296,412;10815,506;11422,759;11976,518;12582,876;13222,304
Brunei Darussalam;no data;no data;no data;no data;no data;21770,731;14544,374;16561,019;15281,058;16683,224;19428,846;20171,327;20679,723;20430,168;21350,36;24895,613;24460,83;23344,446;17294,914;18237,075;20473,284;18646,04;19037,814;20975,54;24759,511;29459,699;34869,24;36678,272;42529,703;31287,341;35437,251;47092,346;47776,368;44865,244;41947,487;31353,779;27321,997;28443,168;31074,01;29865,278;27174,73;31781,303;37452,922;33576,739;34871,7;37023,382;38658,566;39999,08;41652,57;43627,524
Bulgaria;4286,209;4609,426;4793,655;4913,838;5210,542;4458,09;3946,885;4581,216;7506,638;7678,816;3407,07;336,65;1380,594;758,059;1348,67;2284,824;1494,786;1386,466;1854,468;1689,293;1625,322;1797,392;2090,683;2710,577;3370,382;3869,588;4477,028;5815,474;7161,75;6878,061;6754,23;7872,225;7453,726;7703,869;7925,445;7096,339;7593,706;8409,665;9485,446;9909,937;10165,58;12297,273;14023,892;15764,648;17069,33;18455,625;19623,357;20788,672;21944,424;23219,811
Burkina Faso;338,66;287,809;261,617;233,14;203,12;218,83;279,032;315,981;339,602;330,706;381,987;376,497;393,316;365,7;214,467;258,491;273,892;252,618;281,638;293,779;249,18;260,445;286,551;363,727;405,267;443,189;457,366;516,811;621,822;603,222;627,783;727,484;734,438;762,315;767,569;632,191;665,575;710,541;780,482;765,132;824,248;887,527;830,449;866,587;908,372;952,484;997,248;1038,32;1082,581;1129,924
Burundi;232,381;234,94;241,083;247,995;218,999;247,644;253,424;231,932;211,184;213,175;207,113;207,674;187,243;162,572;157,474;167,177;142,588;157,054;141,755;133,412;130,225;127,349;116,392;108,066;122,381;148,71;164,575;170,174;195,79;208,78;231,549;247,097;250,118;255,319;273,133;304,243;281,062;291,859;271,289;261,294;259,906;273,956;310,952;326,842;320,636;156,497;168,286;179,305;190,883;200,024
Cabo Verde;569,223;549,642;522,032;494,441;493,568;542,224;685,354;836,444;997,269;1006,712;1224,464;1284,552;1356,281;1190,076;1247,034;1540,817;1611,23;1568,812;1631,763;1709,177;1689,524;1875,159;2015,386;2524,325;2839,287;3090,988;3174,469;3565,274;4189,744;3918,604;3818,598;4259,084;3958,495;4174,748;4178,127;3560,703;3759,98;3965,504;4165,533;4465,52;3649,151;4072,362;4557,702;5083,19;5388,164;5711,537;6080,15;6439,786;6816,968;7220,745
Cambodia;no data;no data;no data;no data;no data;no data;26,504;17,646;33,619;40,935;102,928;222,358;260,32;249,997;273,274;328,965;326,774;313,733;276,835;304,119;313,224;345,368;368,731;406,869;465,695;550,21;639,874;763,623;903,246;912,75;992,085;1133,384;1241,402;1356,991;1485,892;1606,561;1735,785;1888,07;2097,235;2281,377;2136,009;2217,723;2365,226;2545,522;2743,991;2948,029;3180,527;3428,239;3691,665;3973,858
Cameroon;1004,846;1106,193;1031,862;1012,33;1041,933;1059,933;1344,534;1514,218;1493,9;1292,834;1255,123;1357,676;1207,539;1222,984;808,04;745,55;808,211;794,939;772,304;765,544;660,382;687,404;756,14;949,02;1089,418;1101,546;1147,497;1277,667;1439,39;1409,942;1353,407;1464,888;1404,412;1527,773;1604,627;1382,65;1412,866;1468,929;1585,96;1533,161;1539,354;1654,245;1592,262;1722,821;1821,317;1922,852;2018,241;2106,939;2208,328;2315,635
Canada;11281,422;12396,666;12543,938;13493,198;13947,358;14185,922;14539,75;16408,139;19041,182;20842,455;21572,137;21885,57;20984,778;20210,452;20024,581;20706,725;21325,69;21930,485;21046,556;22340,553;24296,721;23859,77;24279,8;28340,085;32178,496;36440,967;40559,017;44717,074;46773,744;40989,278;47625,742;52285,815;52745,057;52711,32;51025,428;43628,425;42382,499;45192,368;46617,97;46430,975;43573,195;52520,512;55612,897;53607,403;53834,483;55889,665;58264,198;60561,196;62693,516;64674,355
Central African Republic;321,769;324,98;306,755;287,218;272,557;349,348;442,905;477,652;505,629;486,416;547,344;505,678;488,498;414,585;263,389;333,619;291,002;277,148;285,44;278,512;226,367;229,449;245,313;289,622;312,4;329,417;351,222;393,237;445,966;454,642;476,409;533,358;544,728;364,378;410,048;366,36;387,069;432,172;467,282;460,794;475,188;505,678;482,523;510,568;529,492;548,832;573,245;593,472;613,025;633,676
Chad;222,856;258,003;243,75;238,124;249,329;262,918;314,369;345,453;391,065;357,56;417,245;400,386;404,232;342,139;268,293;318,05;341,819;317,438;346,26;294,234;256,354;303,995;341,005;450,958;700,214;900,944;980,085;1108,571;1283,422;1124,383;1195,527;1313,564;1265,051;1279,847;1332,915;1028,116;920,198;888,615;990,693;935,428;889,735;941,934;933,778;982,381;1012,651;1036,155;1070,544;1097,006;1128,316;1160,371
Chile;2598,159;3025,972;2219,964;1774,676;1698,949;1434,434;1515,068;1756,21;2035,335;2305,635;2521,569;2849,743;3392,088;3572,096;4058,557;5153,88;5387,405;5799,339;5475,546;4985,768;5099,922;4608,057;4479,771;4824,87;6183,906;7558,009;9410,392;10447,116;10759,738;10176,733;12723,064;14560,249;15316,01;15740,391;14582,85;13494,489;13722,878;15003,77;15755,003;14551,577;13056,638;16037,956;15238,627;16814,973;16365,296;17926,521;18656,578;19381,87;20125,573;20927,958
China, People's Republic of;306,98;288,491;279,971;296,509;301,111;292,99;279,908;299,842;368,079;406,534;346,873;356,759;420,025;520,966;468,658;603,526;703,06;774,91;820,903;865,236;951,163;1044,958;1141,14;1282,21;1499,712;1751,368;2095,239;2691,048;3446,695;3813,408;4499,803;5553,242;6282,709;7039,574;7645,875;8034,287;8063,446;8760,259;9848,949;10170,061;10525,001;12572,071;12642,847;12597,307;12968,567;13873,312;14792,956;15692,061;16617,491;17546,138
Colombia;1682,427;1792,984;1878,86;1827,905;1767,893;1623,658;1592,848;1624,054;1714,91;1694,091;1691,106;1712,347;1986,543;2209,203;2726,817;3035,313;3137,068;3399,33;3090,903;2673,665;2535,477;2461,328;2424,349;2313,535;2827,173;3493,976;3836,682;4834,404;5622,109;5330,795;6498,573;7518,304;8237,293;8409,676;8312,046;6337,03;6037,14;6577,28;6923,64;6540,141;5363,235;6231,24;6681,732;6962,873;7917,244;7895,434;8233,72;8591,672;8987,62;9394,685
Comoros;722,292;616,729;571,463;541,823;517,146;510,964;668,645;789,369;824,423;783,311;931,447;905,748;963,711;923,237;664,841;811,987;793,967;718,393;705,347;707,442;632,79;680,521;763,902;958,891;1070,966;1107,206;1138,719;1289,946;1454,493;1407,577;1385,195;1526,567;1484,891;1596,013;1609,102;1323,072;1356,892;1414,088;1518,8;1501,981;1510,592;1549,471;1439,616;1540,685;1629,863;1687,17;1760,404;1828,4;1895,448;1964,46
Congo, Dem. Rep. of the;2730,694;2301,277;2422,242;1891,283;1221,72;1080,898;1174,016;1075,998;1206,847;1188,851;1192,38;1120,914;973,197;1222,443;639,608;601,803;750,736;642,729;461,123;410,453;397,025;146,542;171,076;171,505;189,173;226,776;265,901;310,819;366,699;291,745;338,802;387,825;427,848;481,137;512,244;519,68;477,259;478,789;564,342;578,891;546,43;614,306;679,412;669,581;702,373;743,648;767,704;793,139;811,051;829,704
Congo, Republic of ;1268,332;1008,636;853,044;752,384;671,076;667,569;885,759;1043,902;1077,321;1071,039;1219,584;1237,554;1301,275;1157,837;774,866;896,009;1008,344;893,112;762,522;877,222;1156,361;933,558;999,604;1128,049;1439,638;1811,59;2116,981;2220,174;2848,341;2281,47;2965,182;3414,461;3756,238;3719,705;3623,464;2348,056;2106,937;2226,946;2716,492;2509,047;2014,193;2293,987;2339,437;2308,52;2384,399;2454,478;2522,121;2587,661;2670,943;2781,53
Costa Rica;2108,75;1111,35;1071,935;1257,355;1421,164;1478,366;1611,323;1612,564;1598,038;1763,481;1880,75;2305,412;2684,089;2926,912;3110,155;3336,709;3277,614;3450,907;3653,154;3715,408;3941,14;4041,943;4122,829;4227,819;4483,59;4756,337;5309,271;6194,045;6993,896;6879,266;8268,859;9270,571;10107,452;10764,529;10853,638;11635,197;11986,918;12185,259;12428,924;12691,127;12163,927;12539,282;13239,876;16390,222;17860,414;18722,033;19677,607;20666,831;21705,25;22771,271
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;120,002;1590,588;3683,029;4637,509;4916,983;4832,443;5324,026;5179,026;5053,112;5363,399;6215,467;8191,829;9717,962;10452,38;11505,751;13764,592;15896,749;14408,429;13710,364;14659,284;13459,966;14001,926;14040,962;12135,14;12632,022;13648,851;15138,564;15220,474;14372,314;17955,798;18687,46;21520,681;23380,437;25081,166;26567,688;27874,039;29263,52;30740,344
Cyprus;4549,59;4352,502;4452,666;4399,223;4575,652;4824,674;6057,903;7188,216;8204,3;8635,765;10359,998;10413,726;12158,597;11342,407;12525,318;15396,919;15260,553;14323,919;15181,803;15379,835;14464,816;14905,024;16188,394;20389,178;23969,991;25527,08;27448,569;31774,426;36009,56;32650,265;31521,893;32910,616;29075,269;27671,331;27076,806;23507,588;24802,599;26834,665;29631,99;29626,37;28386,27;32926,483;32357,354;35015,587;37766,666;40551,733;42498,842;44363,899;46288,831;48403,116
