"Daily smokers"
"% of population aged 15+, 2005"
"Category";"Total";"Women";"Men"
"France";27,5;23,2;32
"Denmark";26;24;28
"Korea";25,9;4,7;47,3
"Netherlands";25,2;22,1;28,4
"Norway";25;24;26
"Lithuania";24,5;9,8;42,1
"Czechia";24,3;19,4;29,8
"Japan";24,2;11,3;39,3
"United Kingdom";23,9;22,7;25,3
"Germany";23,2;18,8;27,9
"Luxembourg";23;19;27
"New Zealand";22,5;22,5;22,5
"Italy";22,3;16,4;28,7
"Finland";21,8;18,2;26
"Iceland";19,2;19,2;19,3
"Canada";17,3;15,6;19,2
"United States";16,9;14,9;19,1
"Sweden";15,7;13,8;17,6
